student_id,name,branch,cgpa,avg_test_score,technical_score,aptitude_score,num_projects,num_internships,skills,placed,company,salary
S0488,Priya,CIVIL,8.66,67.75,77.36,47.4,5,0,"AutoCAD, STAAD, Surveying",0,,0
S1860,Aisha,ECE,6.61,76.75,58.04,44.92,2,0,"Embedded, C++, Verilog",1,Wipro,493668
S1480,Diya,MECH,8.0,80.97,66.24,60.96,1,1,"Python, AutoCAD, MATLAB",0,,0
S0252,Ananya,CSE,5.5,54.42,69.26,55.62,3,0,"Python, DL, ML",1,Wipro,493402
S0071,Karan,MECH,6.57,47.17,78.9,67.95,3,0,"SolidWorks, Python, MATLAB",1,HCL,436250
S1464,Karan,ECE,8.77,57.59,74.61,77.45,3,2,"Embedded, C, VLSI",1,Infosys,498656
S0427,Karan,MECH,8.79,84.93,72.2,63.46,3,2,"Python, AutoCAD, MATLAB",1,TCS,364939
S0393,Ananya,IT,6.93,67.59,66.37,77.56,2,1,"HTML, Express, Node",0,,0
S0585,Karan,CSE,5.82,68.24,61.78,63.36,5,0,"ML, DataScience, DL",1,Infosys,565120
S0613,Rohan,IT,8.66,68.24,65.0,62.82,2,1,"CSS, Node, HTML",0,,0
S1186,Rahul,IT,6.72,67.68,85.11,76.53,5,2,"React, HTML, Node",1,TCS,378768
S1084,Nikhil,ECE,7.93,85.78,54.28,68.03,3,0,"C, VLSI, C++",1,HCL,531531
S1841,Rohan,IT,6.84,44.08,50.98,44.25,3,1,"Java, React, HTML",1,Infosys,587601
S0561,Nikhil,ECE,7.08,69.97,76.27,95.0,5,2,"C, Verilog, VLSI",1,HCL,388266
S1513,Priya,CIVIL,7.53,67.39,49.83,72.85,4,0,"AutoCAD, Revit, STAAD",1,TCS,360260
S0333,Priya,CSE,9.34,66.39,54.69,77.5,1,2,"Python, DataScience, ML",1,Infosys,489081
S0815,Rahul,MECH,6.22,60.22,75.21,83.71,3,0,"Python, SolidWorks, MATLAB",1,HCL,356903
S0304,Rahul,ECE,6.94,76.32,90.29,63.3,2,1,"C, Verilog, VLSI",1,Infosys,568279
S0511,Ananya,IT,6.13,65.81,66.08,61.25,5,0,"Express, Node, React",0,,0
S0470,Priya,IT,7.85,66.57,66.24,37.91,3,1,"React, CSS, HTML",0,,0
S0590,Priya,CSE,7.08,79.3,86.55,71.58,2,1,"DL, SQL, C++",1,HCL,384932
S0752,Rohan,IT,7.09,70.6,77.75,41.82,5,2,"Express, Java, CSS",0,,0
S0131,Karan,CIVIL,6.42,74.32,48.64,70.05,2,1,"Surveying, STAAD, Revit",0,,0
S0472,Ananya,IT,7.45,77.18,55.16,71.02,2,0,"Express, Node, React",1,TCS,405478
S1889,Rohan,CIVIL,5.5,69.68,79.11,64.7,3,1,"Surveying, Revit, AutoCAD",0,,0
S0420,Rohan,CSE,8.29,83.3,84.63,74.81,3,1,"C++, DataScience, ML",1,Infosys,561042
S0186,Aisha,MECH,5.96,80.92,83.58,76.62,3,0,"Python, SolidWorks, MATLAB",1,TCS,532585
S0233,Ananya,CIVIL,7.72,67.54,59.41,58.2,1,2,"Revit, STAAD, AutoCAD",1,TCS,391276
S0487,Ananya,MECH,9.01,66.91,72.57,60.72,2,1,"AutoCAD, Python, SolidWorks",1,Wipro,532648
S0758,Nikhil,MECH,5.98,84.17,63.06,95.0,4,0,"SolidWorks, Python, AutoCAD",1,Wipro,539194
S0809,Rohan,MECH,7.26,77.26,72.17,60.96,4,1,"SolidWorks, MATLAB, AutoCAD",1,TCS,593488
S0213,Rohan,CSE,8.45,60.37,86.18,61.09,2,2,"SQL, Python, DL",1,Wipro,461294
S0061,Rohan,ECE,7.77,58.14,65.2,76.22,4,1,"C, Embedded, Verilog",1,Wipro,448755
S0025,Rahul,ECE,7.68,74.71,82.63,63.41,5,1,"Embedded, VLSI, C++",1,HCL,555686
S0705,Aarav,ECE,8.55,68.23,54.76,74.1,2,1,"C++, VLSI, C",1,Infosys,420540
S0237,Diya,CSE,6.86,81.78,68.87,70.53,3,1,"SQL, DL, Python",1,Wipro,572319
S1637,Diya,CIVIL,6.67,65.35,50.0,57.92,2,0,"Surveying, AutoCAD, Revit",0,,0
S1190,Nikhil,CIVIL,8.14,73.39,52.81,84.71,1,1,"AutoCAD, Surveying, STAAD",1,Infosys,496597
S0221,Isha,IT,6.77,66.33,79.56,69.34,2,1,"React, HTML, Java",1,TCS,475308
S1340,Isha,IT,6.69,79.11,70.15,60.48,3,0,"Express, Node, React",1,TCS,563154
S0580,Rahul,CSE,6.34,83.03,60.47,83.6,3,1,"DL, DataScience, C++",1,Wipro,357147
S1128,Isha,ECE,7.53,69.2,72.16,66.25,1,0,"Verilog, VLSI, C++",0,,0
S0141,Karan,ECE,8.27,75.67,74.12,67.96,5,0,"VLSI, C, C++",1,Infosys,546331
S0506,Aisha,MECH,9.78,79.38,74.63,71.28,3,1,"Python, MATLAB, AutoCAD",1,HCL,535573
S1167,Rahul,MECH,7.71,78.94,82.16,64.95,3,1,"Python, SolidWorks, AutoCAD",0,,0
S0715,Rohan,CSE,7.07,67.39,62.92,57.03,1,1,"DL, ML, C++",1,Infosys,559317
S0577,Diya,ECE,10.0,62.3,76.33,45.29,3,2,"C, VLSI, Embedded",1,Infosys,358552
S0327,Aarav,IT,8.17,65.7,75.77,94.62,3,1,"Java, CSS, Node",1,TCS,371881
S0383,Ananya,CSE,7.23,57.58,71.4,56.83,4,2,"DL, Python, ML",1,TCS,384225
S1067,Rahul,CIVIL,7.99,55.3,83.28,71.62,1,0,"Revit, Surveying, STAAD",0,,0
S1349,Nikhil,MECH,7.34,75.43,72.97,52.73,3,0,"Python, SolidWorks, AutoCAD",0,,0
S0364,Diya,IT,8.73,63.44,86.65,64.1,2,1,"CSS, Java, HTML",1,Infosys,540918
S1950,Aisha,IT,7.16,78.69,71.36,83.09,1,0,"Express, HTML, React",0,,0
S1321,Isha,CSE,8.03,75.12,88.74,55.51,3,2,"C++, Python, DL",1,Infosys,426178
S0462,Ananya,CSE,8.21,61.11,66.76,69.35,3,1,"DataScience, ML, C++",1,HCL,554978
S0231,Isha,MECH,8.75,70.09,65.99,60.24,1,1,"AutoCAD, SolidWorks, MATLAB",0,,0
S0100,Nikhil,CSE,8.17,73.76,87.94,60.76,3,1,"Python, DataScience, ML",1,TCS,510164
S1950,Aisha,IT,7.16,78.69,71.36,83.09,1,0,"Express, HTML, React",0,,0
