student_id,name,branch,cgpa,avg_test_score,technical_score,aptitude_score,num_projects,num_internships,skills,placed,company,salary
S00001,Neha,IT,6.41,77.84,63.75,55.33,3,2,"HTML, Node",1,TCS,439921
S00002,Sneha,CIVIL,7.31,70.08,48.26,62.61,3,1,"STAAD, AutoCAD, Surveying, Revit",0,,0
S00003,Priya,ECE,8.29,76.55,69.29,47.57,0,1,"C++, C",0,,0
S00004,Karan,IT,7.67,59.86,72.22,69.11,2,1,"HTML, Java, Express, SQL",1,Accenture,1008601
S00005,Riya,CSE,8.42,71.43,85.83,77.05,3,0,"DL, Node, DataScience, HTML",1,Accenture,1015635
S00006,Shreya,CSE,8.07,63.01,83.65,53.83,2,1,"HTML, Java, C++, Python",1,TCS,645565
S00007,Priya,CSE,7.63,57.8,83.42,70.2,2,0,"Node, C++, ML, DataScience",0,,0
S00008,Vihaan,MECH,6.83,61.39,65.02,60.34,6,1,"MATLAB, SolidWorks, AutoCAD, Python",0,,0
S00009,Aisha,ECE,7.18,64.56,65.43,78.03,3,0,"C++, Embedded, C",1,TCS,479388
S00010,Karan,ECE,6.85,82.45,74.68,42.23,1,1,"Python, C++, C",0,,0
S00011,Shreya,CSE,8.85,64.29,89.71,78.54,2,0,"DataScience, C++, React, HTML",1,Accenture,1243716
S00012,Karan,CIVIL,5.99,57.28,72.89,48.19,3,0,"Surveying, AutoCAD, Revit",1,HCL,378201
S00013,Priya,MECH,6.85,71.31,71.01,67.48,6,2,"MATLAB, Python, AutoCAD, SolidWorks",1,TCS,637909
S00014,Vihaan,CSE,7.08,70.29,79.42,61.49,3,1,"ML, DataScience, Node, HTML",1,Tech Mahindra,568412
S00015,Rohan,CSE,8.05,65.08,63.15,65.67,3,1,"Node, React, Express, CSS",1,Tech Mahindra,632690
S00016,Karan,CSE,8.29,68.39,91.46,51.65,2,1,"Express, DL, SQL",1,IBM,952024
S00017,Vikram,CSE,7.66,79.76,91.6,89.92,5,2,"DataScience, HTML, C++",1,Accenture,717426
S00018,Rishabh,IT,7.45,76.71,83.5,54.56,3,2,"HTML, Express, React, SQL",1,Accenture,1145850
